"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2013 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
28-2182,DOUGLAS,28,TIF REDEVELOPMENT 182,10/18/2005,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Bushido University, LLC
14th & Webster Streets
Description: Commercial development",2009,0,0,0,7813900,0,0,0,0,,0,7813900,2.13427,166769.72,0
28-2182,DOUGLAS,28,TIF REDEVELOPMENT 182,10/18/2005,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Bushido University, LLC
14th & Webster Streets
Description: Commercial development",2010,0,0,0,7813900,0,0,0,0,,0,7813900,2.17816,170199.24,0
28-2182,DOUGLAS,28,TIF REDEVELOPMENT 182,10/18/2005,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Bushido University, LLC
14th & Webster Streets
Description: Commercial development",2011,0,0,0,7813900,0,0,0,0,,0,7813900,2.17798,170185.18,0
28-2182,DOUGLAS,28,TIF REDEVELOPMENT 182,10/18/2005,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Bushido University, LLC
14th & Webster Streets
Description: Commercial development",2012,0,0,0,7813900,0,0,0,0,,0,7813900,2.17448,169911.69,0
28-2182,DOUGLAS,28,TIF REDEVELOPMENT 182,10/18/2005,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Bushido University, LLC
14th & Webster Streets
Description: Commercial development",2013,0,0,0,7813900,0,0,0,0,,0,7813900,2.19974,171885.49,0
28-2183,DOUGLAS,28,TIF REDEVELOPMENT 183,6/28/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: La Cuadra, LLC
33rd & Q Streets
Description: Commercial Development",2006,0,0,166700,0,0,0,0,0,,166700,0,2.07512,0,3459.23
28-2183,DOUGLAS,28,TIF REDEVELOPMENT 183,6/28/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: La Cuadra, LLC
33rd & Q Streets
Description: Commercial Development",2007,0,0,166700,1115100,0,0,0,0,,166700,1115100,2.05403,22904.49,3424.07
28-2183,DOUGLAS,28,TIF REDEVELOPMENT 183,6/28/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: La Cuadra, LLC
33rd & Q Streets
Description: Commercial Development",2008,0,0,166700,1595200,0,0,0,0,,166700,1595200,2.05498,32781.04,3425.65
28-2183,DOUGLAS,28,TIF REDEVELOPMENT 183,6/28/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: La Cuadra, LLC
33rd & Q Streets
Description: Commercial Development",2009,0,0,166700,1955300,0,0,0,0,,166700,1955300,2.13427,41731.38,3557.83
28-2183,DOUGLAS,28,TIF REDEVELOPMENT 183,6/28/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: La Cuadra, LLC
33rd & Q Streets
Description: Commercial Development",2010,0,0,56600,1595200,0,0,0,0,,56600,1595200,2.17816,34746.01,1232.84
28-2212,DOUGLAS,28,TIF REDEVELOPMENT 212,4/24/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Giovanna Townhouses, LLC 
6th & Pierce Streets 
Description: TIF funds used for South of Downtown townhouses.",2009,132800,1121700,6900,163400,0,0,0,0,,139700,1285100,2.13427,27427.5,2981.58
28-2212,DOUGLAS,28,TIF REDEVELOPMENT 212,4/24/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Giovanna Townhouses, LLC 
6th & Pierce Streets 
Description: TIF funds used for South of Downtown townhouses.",2010,132800,1930000,6900,48600,0,0,0,0,,139700,1978600,2.17816,43097.07,3042.89
28-2212,DOUGLAS,28,TIF REDEVELOPMENT 212,4/24/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Giovanna Townhouses, LLC 
6th & Pierce Streets 
Description: TIF funds used for South of Downtown townhouses.",2011,132800,1486000,6900,125900,0,0,0,0,,139700,1611900,2.17798,35106.86,3042.64
28-2212,DOUGLAS,28,TIF REDEVELOPMENT 212,4/24/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Giovanna Townhouses, LLC 
6th & Pierce Streets 
Description: TIF funds used for South of Downtown townhouses.",2012,132800,1486000,6900,125900,0,0,0,0,,139700,1611900,2.17448,35050.45,3037.75
28-2212,DOUGLAS,28,TIF REDEVELOPMENT 212,4/24/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Giovanna Townhouses, LLC 
6th & Pierce Streets 
Description: TIF funds used for South of Downtown townhouses.",2013,132800,1486000,6900,125900,0,0,0,0,,139700,1611900,2.19974,35457.61,3073.04
28-2214,DOUGLAS,28,TIF REDEVELOPMENT 214,4/24/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Anzaldo Incontro LLC 
4400 South 16th Street 
Description: TIF funds used for townhome development.",2007,16700,0,0,0,0,0,0,0,,16700,0,2.05403,0,343.02
28-2214,DOUGLAS,28,TIF REDEVELOPMENT 214,4/24/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Anzaldo Incontro LLC 
4400 South 16th Street 
Description: TIF funds used for townhome development.",2008,16700,630900,0,0,0,0,0,0,,16700,630900,2.05498,12964.87,343.18
28-2214,DOUGLAS,28,TIF REDEVELOPMENT 214,4/24/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Anzaldo Incontro LLC 
4400 South 16th Street 
Description: TIF funds used for townhome development.",2009,16700,797800,0,0,0,0,0,0,,16700,797800,2.13427,17027.21,356.42
28-2214,DOUGLAS,28,TIF REDEVELOPMENT 214,4/24/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Anzaldo Incontro LLC 
4400 South 16th Street 
Description: TIF funds used for townhome development.",2010,16700,797800,0,0,0,0,0,0,,16700,797800,2.17816,17377.36,363.75
28-2214,DOUGLAS,28,TIF REDEVELOPMENT 214,4/24/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Anzaldo Incontro LLC 
4400 South 16th Street 
Description: TIF funds used for townhome development.",2011,16700,781100,0,0,0,0,0,0,,16700,781100,2.17798,17012.2,363.72
28-2214,DOUGLAS,28,TIF REDEVELOPMENT 214,4/24/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Anzaldo Incontro LLC 
4400 South 16th Street 
Description: TIF funds used for townhome development.",2012,16700,781100,0,0,0,0,0,0,,16700,781100,2.17448,16984.86,363.14
28-2214,DOUGLAS,28,TIF REDEVELOPMENT 214,4/24/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Anzaldo Incontro LLC 
4400 South 16th Street 
Description: TIF funds used for townhome development.",2013,16700,352000,0,0,0,0,0,0,,16700,352000,2.19974,7743.08,367.36
28-2222,DOUGLAS,28,TIF REDEVELOPMENT 222,1/1/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Skyline Retirement Communtiy
7350 Graceland Drive
Description: TIF funds used for redevelopment of cintinuing care retirement community.",2009,0,0,9627600,0,0,0,0,0,,9627600,0,2.13427,0,205478.98
28-2222,DOUGLAS,28,TIF REDEVELOPMENT 222,1/1/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Skyline Retirement Communtiy
7350 Graceland Drive
Description: TIF funds used for redevelopment of cintinuing care retirement community.",2010,0,0,9627600,0,0,0,0,0,,9627600,0,2.17816,0,209704.53
28-2222,DOUGLAS,28,TIF REDEVELOPMENT 222,1/1/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Skyline Retirement Communtiy
7350 Graceland Drive
Description: TIF funds used for redevelopment of cintinuing care retirement community.",2011,0,0,9627600,0,0,0,0,0,,9627600,0,2.17798,0,209687.2
28-2222,DOUGLAS,28,TIF REDEVELOPMENT 222,1/1/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Skyline Retirement Communtiy
7350 Graceland Drive
Description: TIF funds used for redevelopment of cintinuing care retirement community.",2012,0,0,9627600,0,0,0,0,0,,9627600,0,2.17448,0,209350.24
28-2222,DOUGLAS,28,TIF REDEVELOPMENT 222,1/1/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Skyline Retirement Communtiy
7350 Graceland Drive
Description: TIF funds used for redevelopment of cintinuing care retirement community.",2013,0,0,9627600,0,0,0,0,0,,9627600,0,2.19974,0,211782.17
28-2223,DOUGLAS,28,TIF REDEVELOPMENT 223,11/20/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Creighton University/Modern Equipment, Co.
6161 Abbot Drive
Description: TIF funds for the development of the North Industrial Airport Business Park",2008,0,0,653800,0,0,0,0,0,,653800,0,2.05498,0,13435.46
28-2223,DOUGLAS,28,TIF REDEVELOPMENT 223,11/20/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Creighton University/Modern Equipment, Co.
6161 Abbot Drive
Description: TIF funds for the development of the North Industrial Airport Business Park",2009,0,0,653800,8748900,0,0,0,0,,653800,8748900,2.13427,186725.15,13953.86
28-2223,DOUGLAS,28,TIF REDEVELOPMENT 223,11/20/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Creighton University/Modern Equipment, Co.
6161 Abbot Drive
Description: TIF funds for the development of the North Industrial Airport Business Park",2010,0,0,653800,9224200,0,0,0,0,,653800,9224200,2.17816,200917.83,14240.81
28-2223,DOUGLAS,28,TIF REDEVELOPMENT 223,11/20/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Creighton University/Modern Equipment, Co.
6161 Abbot Drive
Description: TIF funds for the development of the North Industrial Airport Business Park",2011,0,0,0,0,653800,9250400,0,0,,653800,9250400,2.17798,201471.86,14239.63
28-2223,DOUGLAS,28,TIF REDEVELOPMENT 223,11/20/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Creighton University/Modern Equipment, Co.
6161 Abbot Drive
Description: TIF funds for the development of the North Industrial Airport Business Park",2012,0,0,0,0,653800,9250400,0,0,,653800,9250400,2.17448,201148.1,14216.75
28-2223,DOUGLAS,28,TIF REDEVELOPMENT 223,11/20/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Creighton University/Modern Equipment, Co.
6161 Abbot Drive
Description: TIF funds for the development of the North Industrial Airport Business Park",2013,0,0,0,0,653800,9250400,0,0,,653800,9250400,2.19974,203484.75,14381.9
28-2224,DOUGLAS,28,TIF REDEVELOPMENT 224,11/14/2006,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: ALDI, Inc
Sutherlands Plaza at Dahlman Ave and L Street
Description: TIF funds used for a South commercial development grocery store.",2008,0,0,177400,481500,0,0,0,0,,177400,481500,2.05498,9894.73,3645.53
28-2234,DOUGLAS,28,TIF REDEVELOPMENT 234,1/1/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Riverfront Campus Developers II, LLC
1001 Gallup Drive
Description: TIF funds for the continued rehababilitation and expansion of Gallup, Inc. Corporate Campus",2011,0,0,442000,15980600,0,0,0,0,,442000,15980600,2.17798,348054.27,9626.67
28-2234,DOUGLAS,28,TIF REDEVELOPMENT 234,1/1/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Riverfront Campus Developers II, LLC
1001 Gallup Drive
Description: TIF funds for the continued rehababilitation and expansion of Gallup, Inc. Corporate Campus",2012,0,0,442000,15538600,0,0,0,0,,442000,15538600,2.17448,337883.75,9611.2
28-2234,DOUGLAS,28,TIF REDEVELOPMENT 234,1/1/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Riverfront Campus Developers II, LLC
1001 Gallup Drive
Description: TIF funds for the continued rehababilitation and expansion of Gallup, Inc. Corporate Campus",2013,0,0,442000,15538600,0,0,0,0,,442000,15538600,2.19974,341808.8,9722.85
28-2235,DOUGLAS,28,TIF REDEVELOPMENT 235,2/3/2009,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: 2566 Leavenworth, LLC
2562/2566 Leavenworth Street
Description: TIF funds used for the acquisition and renovation of the building to house the offices of the Alliant Group.",2008,0,0,375600,0,0,0,0,0,,375600,0,2.05498,0,7718.5
28-2235,DOUGLAS,28,TIF REDEVELOPMENT 235,2/3/2009,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: 2566 Leavenworth, LLC
2562/2566 Leavenworth Street
Description: TIF funds used for the acquisition and renovation of the building to house the offices of the Alliant Group.",2009,0,0,375600,0,0,0,0,0,,375600,0,2.13427,0,8016.32
28-2235,DOUGLAS,28,TIF REDEVELOPMENT 235,2/3/2009,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: 2566 Leavenworth, LLC
2562/2566 Leavenworth Street
Description: TIF funds used for the acquisition and renovation of the building to house the offices of the Alliant Group.",2010,0,0,271000,1522200,0,0,0,0,,271000,1522200,2.17816,33155.95,5902.81
28-2235,DOUGLAS,28,TIF REDEVELOPMENT 235,2/3/2009,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: 2566 Leavenworth, LLC
2562/2566 Leavenworth Street
Description: TIF funds used for the acquisition and renovation of the building to house the offices of the Alliant Group.",2011,0,0,271000,828600,0,0,0,0,,271000,828600,2.17798,18046.74,5902.33
28-2235,DOUGLAS,28,TIF REDEVELOPMENT 235,2/3/2009,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: 2566 Leavenworth, LLC
2562/2566 Leavenworth Street
Description: TIF funds used for the acquisition and renovation of the building to house the offices of the Alliant Group.",2012,0,0,271000,828600,0,0,0,0,,271000,828600,2.17448,18017.74,5892.84
28-2235,DOUGLAS,28,TIF REDEVELOPMENT 235,2/3/2009,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: 2566 Leavenworth, LLC
2562/2566 Leavenworth Street
Description: TIF funds used for the acquisition and renovation of the building to house the offices of the Alliant Group.",2013,0,0,271000,828600,0,0,0,0,,271000,828600,2.19974,18227.05,5961.3
28-2236,DOUGLAS,28,TIF REDEVELOPMENT 236,1/1/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Building 500 LLC
500 S. 18th Street
Description: TIF funds used for the conversion of historical Standard Oil Building, built in 1921, into a multi-story, multi-mixed use residential/office/retail/rental and condo project.",2008,0,0,711000,0,0,0,0,0,,711000,0,2.05498,0,14610.91
28-2236,DOUGLAS,28,TIF REDEVELOPMENT 236,1/1/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Building 500 LLC
500 S. 18th Street
Description: TIF funds used for the conversion of historical Standard Oil Building, built in 1921, into a multi-story, multi-mixed use residential/office/retail/rental and condo project.",2009,0,0,711000,0,0,0,0,0,,711000,0,2.13427,0,15174.66
28-2236,DOUGLAS,28,TIF REDEVELOPMENT 236,1/1/2007,OMAHA,OMAHA 1,28-0001,,5,"Name of Project: Building 500 LLC
500 S. 18th Street
Description: TIF funds used for the conversion of historical Standard Oil Building, built in 1921, into a multi-story, multi-mixed use residential/office/retail/rental and condo project.",2010,0,0,700000,0,0,0,0,0,,700000,0,2.17816,0,15247.12
28-2248,DOUGLAS,28,TIF REDEVELOPMENT 248,3/24/2009,OMAHA,OMAHA 1,28-0001,00-9000,5,"Name of Project: Fores Hills Properties, LLC (The Dunsany)
1113 South 10th Street
Description: TIF funds used to rehabilitate and convert ""The Dunsany"" a historic apartment building into 18 residential condos and 1 retail condominium for a total of approximately 23,400 sq ft of sellable retail space.",2013,417800,4081800,16400,800,0,0,0,0,,434200,4082600,2.19974,89806.59,9551.27
28-2249,DOUGLAS,28,TIF REDEVELOPMENT 249,1/13/2009,OMAHA,OMAHA 1,28-0001,00-9000,5,"Name of Project: Zone 5, LLC Phase 11 
Aksarben Village Northeast of 67th and Center Streets 
Description: TIF funds used for midtown mixed-used development and entertainment center containing 91,054 sq ft.",2009,0,0,550100,0,0,0,0,0,,550100,0,2.13427,0,11740.62
28-2249,DOUGLAS,28,TIF REDEVELOPMENT 249,1/13/2009,OMAHA,OMAHA 1,28-0001,00-9000,5,"Name of Project: Zone 5, LLC Phase 11 
Aksarben Village Northeast of 67th and Center Streets 
Description: TIF funds used for midtown mixed-used development and entertainment center containing 91,054 sq ft.",2010,0,0,550100,1007700,0,0,0,0,,550100,1007700,2.17816,21949.32,11982.06
28-2249,DOUGLAS,28,TIF REDEVELOPMENT 249,1/13/2009,OMAHA,OMAHA 1,28-0001,00-9000,5,"Name of Project: Zone 5, LLC Phase 11 
Aksarben Village Northeast of 67th and Center Streets 
Description: TIF funds used for midtown mixed-used development and entertainment center containing 91,054 sq ft.",2011,0,0,550100,12255400,0,0,0,0,,550100,12255400,2.17798,266920.16,11981.07
28-2249,DOUGLAS,28,TIF REDEVELOPMENT 249,1/13/2009,OMAHA,OMAHA 1,28-0001,00-9000,5,"Name of Project: Zone 5, LLC Phase 11 
Aksarben Village Northeast of 67th and Center Streets 
Description: TIF funds used for midtown mixed-used development and entertainment center containing 91,054 sq ft.",2012,0,0,550100,12255400,0,0,0,0,,550100,12255400,2.17448,266491.22,11961.81
28-2249,DOUGLAS,28,TIF REDEVELOPMENT 249,1/13/2009,OMAHA,OMAHA 1,28-0001,00-9000,5,"Name of Project: Zone 5, LLC Phase 11 
Aksarben Village Northeast of 67th and Center Streets 
Description: TIF funds used for midtown mixed-used development and entertainment center containing 91,054 sq ft.",2013,0,0,550100,12588800,0,0,0,0,,550100,12588800,2.19974,276920.87,12100.77
28-2250,DOUGLAS,28,TIF REDEVELOPMENT 250,1/1/2012,OMAHA,OMAHA 1,28-0001,00-9000,5,"Name of Project: Bluestone Developments
Approx. 37,417 sq. ft. of Lot 9 Union Pacific Place, location at corner of 13th and Cuming St. 
Description: TIF funds for site remediation, renovation, redevelopment and construction of 4-story loft building with 1st floor retail, 2nd floor office, and 3rd & 4th floors studio apartments and related improvements.",2012,0,0,374200,3024900,0,0,0,0,,374200,3024900,2.17448,65775.84,8136.9
28-2250,DOUGLAS,28,TIF REDEVELOPMENT 250,1/1/2012,OMAHA,OMAHA 1,28-0001,00-9000,5,"Name of Project: Bluestone Developments
Approx. 37,417 sq. ft. of Lot 9 Union Pacific Place, location at corner of 13th and Cuming St. 
Description: TIF funds for site remediation, renovation, redevelopment and construction of 4-story loft building with 1st floor retail, 2nd floor office, and 3rd & 4th floors studio apartments and related improvements.",2013,0,0,374200,3198000,0,0,0,0,,374200,3198000,2.19974,70347.68,8231.43
28-2251,DOUGLAS,28,TIF REDEVELOPMENT 251,1/1/2013,OMAHA,OMAHA 1,28-0001,00-9000,5,"Name of Project: OMAR-5, LLC
Lot 1 Walnut Hill Replat 6, 4383 Nicholas St.
Description of Project: TIF funds for rehabilitation and conversion of Omar Baking Company Bldg into campus complex of office and warehouse suites with limited shared services, common areas and facilities.",2013,0,0,299500,235300,0,0,0,0,,299500,235300,2.19974,5175.99,6588.22
28-2252,DOUGLAS,28,TIF REDEVELOPMENT 252,1/1/2010,OMAHA,OMAHA 1,28-0001,00-9000,5,"Name of Project: TBF Company, LLC Southern Valley Townhomes
Lots 3 through 12 Block 13 Brown Park and Lots 2 through 24 Block 16 Brown Park; Parcels were replatted; located between 17th and 18th Q and S Streets.
Description: Acquisition, demolition, redevelopment and expansion of a project area for creation of a new housing subdivision Southern Valley Townhomes.",2010,0,0,0,0,396000,0,0,0,,396000,0,2.17816,0,8625.51
28-2252,DOUGLAS,28,TIF REDEVELOPMENT 252,1/1/2010,OMAHA,OMAHA 1,28-0001,00-9000,5,"Name of Project: TBF Company, LLC Southern Valley Townhomes
Lots 3 through 12 Block 13 Brown Park and Lots 2 through 24 Block 16 Brown Park; Parcels were replatted; located between 17th and 18th Q and S Streets.
Description: Acquisition, demolition, redevelopment and expansion of a project area for creation of a new housing subdivision Southern Valley Townhomes.",2011,449600,0,0,0,0,0,0,0,,449600,0,2.17798,0,9792.2
28-5453,DOUGLAS,28,TIF REDEVELOPMENT RALST 4,12/31/1999,RALSTON,RALSTON 54,28-0054,,3,"Name of Project: Burlington Street Redevelopment
5700 South 75th Street
Description: TIF funds used for acquisition, demolition, grading and site preparation. Business is theatrical construction, warehouse and office space with additional ground for future development.
",2012,0,0,0,0,257300,1776400,0,0,,257300,1776400,2.24744,39923.52,5782.66
28-5453,DOUGLAS,28,TIF REDEVELOPMENT RALST 4,12/31/1999,RALSTON,RALSTON 54,28-0054,,3,"Name of Project: Burlington Street Redevelopment
5700 South 75th Street
Description: TIF funds used for acquisition, demolition, grading and site preparation. Business is theatrical construction, warehouse and office space with additional ground for future development.
",2013,0,0,0,0,257300,1776400,0,0,,257300,1776400,2.29876,40835.17,5914.71
28-5454,DOUGLAS,28,TIF REDEVELOPMENT RALST 5,7/18/2000,RALSTON,RALSTON 54,28-0054,,3,"Name of Project: The Colonies at Cedar Crest (Venture Development Group, Inc. & Rosenthal Family, LLC)
Lots 1 - 25, The Colonies at Cedar Crest, an addition to the City of Ralston.
Description: TIF funds used for the purpose of puchasing land, installation of public improvements (streets, curb & gutter, water, sewer, other utilities and earthwork), site preparation, engineering, construction, landscaping and professional fees for the development of a residential community consisting of 24 single-family home lots, one larger lot intended for 2 townhouse and 12 condominiums on a site approximately 11 acres in total.
",2002,227100,255300,0,0,0,0,0,0,,227100,255300,2.292,5851.48,5205.13
28-5454,DOUGLAS,28,TIF REDEVELOPMENT RALST 5,7/18/2000,RALSTON,RALSTON 54,28-0054,,3,"Name of Project: The Colonies at Cedar Crest (Venture Development Group, Inc. & Rosenthal Family, LLC)
Lots 1 - 25, The Colonies at Cedar Crest, an addition to the City of Ralston.
Description: TIF funds used for the purpose of puchasing land, installation of public improvements (streets, curb & gutter, water, sewer, other utilities and earthwork), site preparation, engineering, construction, landscaping and professional fees for the development of a residential community consisting of 24 single-family home lots, one larger lot intended for 2 townhouse and 12 condominiums on a site approximately 11 acres in total.
",2003,227100,1638100,0,0,0,0,0,0,,227100,1638100,2.39067,39161.57,5429.21
28-5454,DOUGLAS,28,TIF REDEVELOPMENT RALST 5,7/18/2000,RALSTON,RALSTON 54,28-0054,,3,"Name of Project: The Colonies at Cedar Crest (Venture Development Group, Inc. & Rosenthal Family, LLC)
Lots 1 - 25, The Colonies at Cedar Crest, an addition to the City of Ralston.
Description: TIF funds used for the purpose of puchasing land, installation of public improvements (streets, curb & gutter, water, sewer, other utilities and earthwork), site preparation, engineering, construction, landscaping and professional fees for the development of a residential community consisting of 24 single-family home lots, one larger lot intended for 2 townhouse and 12 condominiums on a site approximately 11 acres in total.
",2004,227100,3704300,0,0,0,0,0,0,,227100,3704300,2.39007,88535.36,5427.85
28-5454,DOUGLAS,28,TIF REDEVELOPMENT RALST 5,7/18/2000,RALSTON,RALSTON 54,28-0054,,3,"Name of Project: The Colonies at Cedar Crest (Venture Development Group, Inc. & Rosenthal Family, LLC)
Lots 1 - 25, The Colonies at Cedar Crest, an addition to the City of Ralston.
Description: TIF funds used for the purpose of puchasing land, installation of public improvements (streets, curb & gutter, water, sewer, other utilities and earthwork), site preparation, engineering, construction, landscaping and professional fees for the development of a residential community consisting of 24 single-family home lots, one larger lot intended for 2 townhouse and 12 condominiums on a site approximately 11 acres in total.
",2005,0,0,227100,4480000,0,0,0,0,,227100,4480000,2.36388,105901.82,5368.37
28-5454,DOUGLAS,28,TIF REDEVELOPMENT RALST 5,7/18/2000,RALSTON,RALSTON 54,28-0054,,3,"Name of Project: The Colonies at Cedar Crest (Venture Development Group, Inc. & Rosenthal Family, LLC)
Lots 1 - 25, The Colonies at Cedar Crest, an addition to the City of Ralston.
Description: TIF funds used for the purpose of puchasing land, installation of public improvements (streets, curb & gutter, water, sewer, other utilities and earthwork), site preparation, engineering, construction, landscaping and professional fees for the development of a residential community consisting of 24 single-family home lots, one larger lot intended for 2 townhouse and 12 condominiums on a site approximately 11 acres in total.
",2006,227100,4583700,0,0,0,0,0,0,,227100,4583700,2.19967,100826.27,4995.45
28-5454,DOUGLAS,28,TIF REDEVELOPMENT RALST 5,7/18/2000,RALSTON,RALSTON 54,28-0054,,3,"Name of Project: The Colonies at Cedar Crest (Venture Development Group, Inc. & Rosenthal Family, LLC)
Lots 1 - 25, The Colonies at Cedar Crest, an addition to the City of Ralston.
Description: TIF funds used for the purpose of puchasing land, installation of public improvements (streets, curb & gutter, water, sewer, other utilities and earthwork), site preparation, engineering, construction, landscaping and professional fees for the development of a residential community consisting of 24 single-family home lots, one larger lot intended for 2 townhouse and 12 condominiums on a site approximately 11 acres in total.
",2007,227100,5258900,0,0,0,0,0,0,,227100,5258900,2.14946,113037.95,4881.42
28-5454,DOUGLAS,28,TIF REDEVELOPMENT RALST 5,7/18/2000,RALSTON,RALSTON 54,28-0054,,3,"Name of Project: The Colonies at Cedar Crest (Venture Development Group, Inc. & Rosenthal Family, LLC)
Lots 1 - 25, The Colonies at Cedar Crest, an addition to the City of Ralston.
Description: TIF funds used for the purpose of puchasing land, installation of public improvements (streets, curb & gutter, water, sewer, other utilities and earthwork), site preparation, engineering, construction, landscaping and professional fees for the development of a residential community consisting of 24 single-family home lots, one larger lot intended for 2 townhouse and 12 condominiums on a site approximately 11 acres in total.
",2008,0,0,227100,5956300,0,0,0,0,,227100,5956300,2.15299,128238.51,4889.44
28-5454,DOUGLAS,28,TIF REDEVELOPMENT RALST 5,7/18/2000,RALSTON,RALSTON 54,28-0054,,3,"Name of Project: The Colonies at Cedar Crest (Venture Development Group, Inc. & Rosenthal Family, LLC)
Lots 1 - 25, The Colonies at Cedar Crest, an addition to the City of Ralston.
Description: TIF funds used for the purpose of puchasing land, installation of public improvements (streets, curb & gutter, water, sewer, other utilities and earthwork), site preparation, engineering, construction, landscaping and professional fees for the development of a residential community consisting of 24 single-family home lots, one larger lot intended for 2 townhouse and 12 condominiums on a site approximately 11 acres in total.
",2009,0,0,227100,6075900,0,0,0,0,,227100,6075900,2.21692,134697.84,5034.63
28-5454,DOUGLAS,28,TIF REDEVELOPMENT RALST 5,7/18/2000,RALSTON,RALSTON 54,28-0054,,3,"Name of Project: The Colonies at Cedar Crest (Venture Development Group, Inc. & Rosenthal Family, LLC)
Lots 1 - 25, The Colonies at Cedar Crest, an addition to the City of Ralston.
Description: TIF funds used for the purpose of puchasing land, installation of public improvements (streets, curb & gutter, water, sewer, other utilities and earthwork), site preparation, engineering, construction, landscaping and professional fees for the development of a residential community consisting of 24 single-family home lots, one larger lot intended for 2 townhouse and 12 condominiums on a site approximately 11 acres in total.
",2010,0,0,227100,5582000,0,0,0,0,,227100,5582000,2.24944,125563.74,5108.48
28-5454,DOUGLAS,28,TIF REDEVELOPMENT RALST 5,7/18/2000,RALSTON,RALSTON 54,28-0054,,3,"Name of Project: The Colonies at Cedar Crest (Venture Development Group, Inc. & Rosenthal Family, LLC)
Lots 1 - 25, The Colonies at Cedar Crest, an addition to the City of Ralston.
Description: TIF funds used for the purpose of puchasing land, installation of public improvements (streets, curb & gutter, water, sewer, other utilities and earthwork), site preparation, engineering, construction, landscaping and professional fees for the development of a residential community consisting of 24 single-family home lots, one larger lot intended for 2 townhouse and 12 condominiums on a site approximately 11 acres in total.
",2011,0,0,227100,6813800,0,0,0,0,,227100,6813800,2.23618,152368.83,5078.36
37-2703,GOSPER,37,TIF WHEATFIELD ADDITION LOT 7,1/1/2009,ELWOOD,ELWOOD 30,37-0030,,3,"Name of Project: Wheatfield Addition
Lot 7, Wheatfield Addition
Description: TIF funds used for residential development.",2010,2150,104279,0,0,0,0,0,0,,2150,104279,2.267762,2364.8,48.76
37-2703,GOSPER,37,TIF WHEATFIELD ADDITION LOT 7,1/1/2009,ELWOOD,ELWOOD 30,37-0030,,3,"Name of Project: Wheatfield Addition
Lot 7, Wheatfield Addition
Description: TIF funds used for residential development.",2011,2150,125034,0,0,0,0,0,0,,2150,125034,2.268275,2836.12,48.77
